251,Krytie penové vysoko absorpčné neadhezívne 3M TEGADERM,"20 x 20 cm, bal. 5 ks",A8 Pomôcky na vlhké hojenie  rán,8.34
252,Advazorb,"20 x 20 cm, 10 ks",A8 Pomôcky na vlhké hojenie  rán,5.39
253,Krytie hydrofilné Advazorb,"10x20 cm, nepriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,10.66
254,Krytie hydrofilné Advazorb,"12,5x12,5 cm, nepriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,3.47
255,Aquacel  foam adhezívne penové krytie na rany so silikónovým okrajom,"Hydrofiber 10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,11.89
256,Suprasorb P PU,"samolepiace 10x10cm, á 1 ks",A8 Pomôcky na vlhké hojenie  rán,4.37
257,Suprasorb P PU,"samolepiace 7,5x7,5cm, á 1 ks",A8 Pomôcky na vlhké hojenie  rán,11.19
258,Obväz penový silikónový Suprasorb P sensitive,"s lepivým okrajom, 10x10 cm, trieda ZP IIb (aktívna plocha 6,2x6,2cm)",A8 Pomôcky na vlhké hojenie  rán,11.17
259,Krytie polyuretánové hydrocelulárne Allevyn Gentle Border,"adhez., so silikón.gélom na chronické rany; 7,5x7,5 cm, á 10ks",A8 Pomôcky na vlhké hojenie  rán,14.58
260,Krytie polyuretánové hydrocelulárne Allevyn Life,"adhez., so silikón. gélom na chronické rany; 10,3x10,3 cm, á 10ks",A8 Pomôcky na vlhké hojenie  rán,8.77
261,Krytie penové adhezívne 3M TEGADERM,"ovál 10 cm x 11 cm; pena 6 cm x 7,6 cm; bal. 10 ks",A8 Pomôcky na vlhké hojenie  rán,11.4
262,Krytie na rany silikónové lepivé Mepilex Border Flex Lite,10 x 10 cm,A8 Pomôcky na vlhké hojenie  rán,13.85
263,Krytie na rany silikónové lepivé Mepilex Border Flex Lite,"7,5 x 7,5 cm",A8 Pomôcky na vlhké hojenie  rán,12.26
264,AQUACEL Foam adhezívne penové krytie so silikónovým okrajom,"8x13 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,1.47
265,Krytie na rany silikónové lepivé Mepilex Border Flex Lite,"5 x 12,5 cm",A8 Pomôcky na vlhké hojenie  rán,7.39
266,Krytie na rany silikónové lepivé Mepilex Border Flex Lite,4 x 5 cm,A8 Pomôcky na vlhké hojenie  rán,8.75
267,HydroTac Comfort,"Krytie na rany penové hydropolymerové, impregnované gelom, samolepiace",A8 Pomôcky na vlhké hojenie  rán,2.52
268,Advazorb Border,"7,5x7,5 cm, samopriľnavé hydrofilné krytie, 10 individuálnych balení v krabičke",A8 Pomôcky na vlhké hojenie  rán,9.6
269,Krytie penové adhezívne 3M TEGADERM,"štvorec 8,8 cm x 8,8 cm; pena 5 cm x 5 cm; bal. 10 ks",A8 Pomôcky na vlhké hojenie  rán,3.77
270,Krytie na rany penové hydropolymérové HydroTac Comfort,"samolepiace, impregnované gélom; 8x15cm, á10ks",A8 Pomôcky na vlhké hojenie  rán,11.99
271,"Tielle, polopriepustný","7 cm x 9 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,14.45
272,Krytie na rany penové HydroTac Border Multisite,"priemer 11,5 cm, 10 ks",A8 Pomôcky na vlhké hojenie  rán,8.33
273,Krytie na rany penové HydroTac Border Multisite,"ovál 13x16 cm, 10 ks",A8 Pomôcky na vlhké hojenie  rán,14.9
274,HydroTac Comfort,"Krytie na rany penové hydropolymerové, impregnované gelom, samolepiace 15 x 15 cm",A8 Pomôcky na vlhké hojenie  rán,11.83
275,HydroTac Comfort,"12,5 cm x 12,5 cm á 10 ks",A8 Pomôcky na vlhké hojenie  rán,11.98
276,Suprasorb P PU,"samolepiace 15x15cm, á 1 ks",A8 Pomôcky na vlhké hojenie  rán,3.07
277,Obväz hydropolymér. gélový s adhez. okrajom Tielle,"11 cm x 11 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,6.78
278,Aquacel  Ag foam adhezívne penové krytie na rany so silikónovým okrajom,"so striebrom, 12.5 x 12.5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,10.78
279,Aquacel  foam adhezívne penové krytie na rany so silikónovým okrajom,"Hydrofiber 12,5x12,5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,12.58
280,AQUACEL Foam adhezívne penové krytie so silikónovým okrajom,"10x20 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,4.71
281,HydroTac Comfort,"Krytie na rany penové hydropolymerové, impregnované gelom, samolepiace",A8 Pomôcky na vlhké hojenie  rán,5.84
282,Obväz penový silikónový Suprasorb P sensitive,"s lepivým okrajom, 20x20 cm, trieda ZP IIb (aktívna plocha 15x15cm)",A8 Pomôcky na vlhké hojenie  rán,2.66
