587,"Parakokcidioidomykóza, bližšie neurčená",Infekčné a parazitové choroby
588,Sporotrichóza pľúc,Infekčné a parazitové choroby
589,Lymfokutánna sporotrichóza,Infekčné a parazitové choroby
590,Diseminovaná sporotrichóza,Infekčné a parazitové choroby
591,Iná forma sporotrichózy,Infekčné a parazitové choroby
592,"Sporotrichóza, bližšie neurčená",Infekčné a parazitové choroby
593,Chromomykóza kože,Infekčné a parazitové choroby
594,Chromomykotický absces mozgu,Infekčné a parazitové choroby
595,Chromomykotický absces a cysta podkožia,Infekčné a parazitové choroby
596,Iná forma chromomykózy,Infekčné a parazitové choroby
597,"Chromomykóza, bližšie neurčená",Infekčné a parazitové choroby
598,Invazívna aspergilóza pľúc,Infekčné a parazitové choroby
599,Iná aspergilóza pľúc,Infekčné a parazitové choroby
600,Aspergilóza tonzíl,Infekčné a parazitové choroby
601,Diseminovaná aspergilóza,Infekčné a parazitové choroby
602,Iná forma aspergilózy,Infekčné a parazitové choroby
603,"Aspergilóza, bližšie neurčená",Infekčné a parazitové choroby
604,Kryptokokóza pľúc,Infekčné a parazitové choroby
605,Kryptokokóza mozgu,Infekčné a parazitové choroby
606,Kryptokokóza kože,Infekčné a parazitové choroby
607,Kryptokokóza kostí,Infekčné a parazitové choroby
608,Diseminovaná kryptokokóza,Infekčné a parazitové choroby
609,Iná forma kryptokokózy,Infekčné a parazitové choroby
610,"Kryptokokóza, bližšie neurčená",Infekčné a parazitové choroby
611,Mukormykóza pľúc,Infekčné a parazitové choroby
612,Rinocerebrálna mukormykóza,Infekčné a parazitové choroby
613,Mukormykóza tráviacej trubice,Infekčné a parazitové choroby
614,Mukormykóza kože,Infekčné a parazitové choroby
615,Diseminovaná mukormykóza,Infekčné a parazitové choroby
616,"Mukormykóza, bližšie neurčená",Infekčné a parazitové choroby
617,Iná zygomykóza,Infekčné a parazitové choroby
618,"Zygomykóza, bližšie neurčená",Infekčné a parazitové choroby
619,Eumycetóm,Infekčné a parazitové choroby
620,Aktinomycetóm,Infekčné a parazitové choroby
621,"Mycetóm, bližšie neurčený",Infekčné a parazitové choroby
622,Lobomykóza,Infekčné a parazitové choroby
623,Rinosporidióza,Infekčné a parazitové choroby
624,Allescherióza,Infekčné a parazitové choroby
625,Geotrichóza,Infekčné a parazitové choroby
626,Penicilóza,Infekčné a parazitové choroby
627,Mykóza zapríčinená oportunistickým patogénom,Infekčné a parazitové choroby
628,"Iná mykóza, bližšie určená",Infekčné a parazitové choroby
629,"Mykóza, bližšie neurčená",Infekčné a parazitové choroby
630,Malária zapríčinená Plasmodium falciparum s mozgovými komplikáciami,Infekčné a parazitové choroby
631,Iná ťažká a komplikovaná malária zapríčinená Plasmodium falciparum,Infekčné a parazitové choroby
632,"Malária zapríčinená Plasmodium falciparum, bližšie neurčená",Infekčné a parazitové choroby
633,Malária zapríčinená Plasmodium vivax s ruptúrou sleziny,Infekčné a parazitové choroby
634,Malária zapríčinená Plasmodium vivax s inými komplikáciami,Infekčné a parazitové choroby
635,Malária zapríčinená Plasmodium vivax bez komplikácií,Infekčné a parazitové choroby
636,Malária zapríčinená Plasmodium malariae s nefropatiou,Infekčné a parazitové choroby
637,Malária zapríčinená Plasmodium malariae s inými komplikáciami,Infekčné a parazitové choroby
638,Malária zapríčinená Plasmodium malariae bez komplikácií,Infekčné a parazitové choroby
639,Malária zapríčinená Plasmodium ovale,Infekčné a parazitové choroby
640,Malária zapríčinená opičími plazmódiami,Infekčné a parazitové choroby
641,"Iná parazitologicky potvrdená malária, nezatriedená inde",Infekčné a parazitové choroby
642,"Malária, bližšie neurčená",Infekčné a parazitové choroby
643,Viscerálna leišmanióza,Infekčné a parazitové choroby
644,Kožná leišmanióza,Infekčné a parazitové choroby
645,Leišmanióza kože a slizníc (mukokutánna),Infekčné a parazitové choroby
646,"Leišmanióza, bližšie neurčená",Infekčné a parazitové choroby
647,Gambijská trypanozomóza,Infekčné a parazitové choroby
648,Rodézska trypanozomóza,Infekčné a parazitové choroby
649,"Africká trypanozomóza, bližšie neurčená",Infekčné a parazitové choroby
650,"Akútna Chagasova choroba s postihnutím srdca (I41.2*, I98.1*)",Infekčné a parazitové choroby
651,Akútna Chagasova choroba bez choroba srdca,Infekčné a parazitové choroby
652,Chagasova choroba (chronická) s postihnutím srdca,Infekčné a parazitové choroby
653,Chagasova choroba (chronická) s postihnutím tráviacej sústavy,Infekčné a parazitové choroby
654,Chagasova choroba (chronická) s postihnutím nervovej sústavy,Infekčné a parazitové choroby
655,Chagasova choroba (chronická) s postihnutím iných orgánov,Infekčné a parazitové choroby
656,Toxoplazmová okulopatia,Infekčné a parazitové choroby
657,Toxoplazmová hepatitída (K77.0*),Infekčné a parazitové choroby
658,Toxoplazmová meningoencefalitída (G05.2*),Infekčné a parazitové choroby
659,Toxoplazmóza pľúc (J17.3*),Infekčné a parazitové choroby
660,Toxoplazmóza s postihnutím iných orgánov,Infekčné a parazitové choroby
661,"Toxoplazmóza, bližšie neurčená",Infekčné a parazitové choroby
662,Pneumocystóza (J17.3*),Infekčné a parazitové choroby
663,Babezióza,Infekčné a parazitové choroby
664,Akantamebóza,Infekčné a parazitové choroby
665,Naeglerióza,Infekčné a parazitové choroby
666,"Iná protozoárna choroba, bližšie určená",Infekčné a parazitové choroby
667,"Protozoárna choroba, bližšie neurčená",Infekčné a parazitové choroby
668,Schistozomóza zapríčinená Schistosoma haematobium,Infekčné a parazitové choroby
669,Schistozomóza zapríčinená Schistosoma mansoni,Infekčné a parazitové choroby
670,Schistozomóza zapríčinená Schistosoma japonicum,Infekčné a parazitové choroby
671,Cerkáriová dermatitída,Infekčné a parazitové choroby
672,Iné schistozomózy,Infekčné a parazitové choroby
673,"Schistozomóza, bližšie neurčená",Infekčné a parazitové choroby
674,Opistorchóza,Infekčné a parazitové choroby
675,Klonorchóza,Infekčné a parazitové choroby
676,Dikrocelióza,Infekčné a parazitové choroby
677,Fasciolóza,Infekčné a parazitové choroby
678,Paragonimóza,Infekčné a parazitové choroby
679,Fasciolopsóza,Infekčné a parazitové choroby
680,"Iná infekcia motolicou, bližšie určená",Infekčné a parazitové choroby
681,"Infekcia motolicou, bližšie neurčená",Infekčné a parazitové choroby
682,Cystická echinokokóza pečene zapríčinená Echinococcus granulosus,Infekčné a parazitové choroby
683,Cystická echinokokóza pľúc zapríčinená Echinococcus granulosus,Infekčné a parazitové choroby
684,Cystická echinokokóza kostí zapríčinená Echinococcus granulosus,Infekčné a parazitové choroby
685,Cystická echinokokóza zapríčinená Echinococcus granulosus na viacerých a na iných miestach,Infekčné a parazitové choroby
686,"Cystická echinokokóza zapríčinená Echinococcus granulosus, bližšie neurčená",Infekčné a parazitové choroby
687,Alveolová echinokokóza pečene zapríčinená Echinococcus multilocularis,Infekčné a parazitové choroby
688,Alveolová echinokokóza zapríčinená Echinococcus multilocularis na iných a na viacerých miestach,Infekčné a parazitové choroby
689,"Alveolová echinokokóza zapríčinená Echinococcus multilocularis, bližšie neurčená",Infekčné a parazitové choroby
690,"Echinokokóza pečene, bližšie neurčená",Infekčné a parazitové choroby
691,"Iná echinokokóza, bližšie neurčená",Infekčné a parazitové choroby
692,Tenióza zapríčinená Taenia solium,Infekčné a parazitové choroby
693,Tenióza zapríčinená Taenia saginata,Infekčné a parazitové choroby
694,"Tenióza, bližšie neurčená",Infekčné a parazitové choroby
695,Cysticerkóza centrálnej nervovej sústavy,Infekčné a parazitové choroby
696,Cysticerkóza oka,Infekčné a parazitové choroby
697,Cysticerkóza na iných miestach,Infekčné a parazitové choroby
698,"Cysticerkóza, bližšie neurčená",Infekčné a parazitové choroby
699,Difylobotrióza,Infekčné a parazitové choroby
700,Sparganóza,Infekčné a parazitové choroby
701,Hymenolepóza,Infekčné a parazitové choroby
702,Dipylidióza,Infekčné a parazitové choroby
703,"Iná infekcia plochými červami, bližšie určená",Infekčné a parazitové choroby
704,"Infekcia plochými červami, bližšie neurčená",Infekčné a parazitové choroby
705,Drakunkulóza,Infekčné a parazitové choroby
706,Onchocerkóza,Infekčné a parazitové choroby
707,Filarióza zapríčinená Wuchereria bancrofti,Infekčné a parazitové choroby
708,Filarióza zapríčinená Brugia malayi,Infekčné a parazitové choroby
709,Filarióza zapríčinená Brugia timori,Infekčné a parazitové choroby
710,Loióza,Infekčné a parazitové choroby
711,Mansonelóza,Infekčné a parazitové choroby
712,Iná filarióza,Infekčné a parazitové choroby
713,"Filarióza, bližšie neurčená",Infekčné a parazitové choroby
714,Trichinelóza,Infekčné a parazitové choroby
715,Ankylostomóza,Infekčné a parazitové choroby
716,Nekatoróza,Infekčné a parazitové choroby
717,Iná ankylostómóza a nekatoróza,Infekčné a parazitové choroby
718,"Ankylostomóza a nekatoróza, bližšie neurčená",Infekčné a parazitové choroby
719,Askaridóza s črevnými komplikáciami,Infekčné a parazitové choroby
720,Askaridóza s inými komplikáciami,Infekčné a parazitové choroby
721,"Askaridóza, bližšie neurčená",Infekčné a parazitové choroby
722,Črevná strongyloidóza,Infekčné a parazitové choroby
723,Kožná strongyloidóza,Infekčné a parazitové choroby
724,Diseminovaná strongyloidóza,Infekčné a parazitové choroby
725,"Strongyloidóza, bližšie neurčená",Infekčné a parazitové choroby
726,Trichuridóza,Infekčné a parazitové choroby
727,Enterobióza,Infekčné a parazitové choroby
728,Anisakidóza,Infekčné a parazitové choroby
729,Črevná kapilarióza,Infekčné a parazitové choroby
730,Trichostrongylóza,Infekčné a parazitové choroby
731,Črevná angiostrongylóza,Infekčné a parazitové choroby
732,Zmiešaná črevná helmintóza,Infekčné a parazitové choroby
733,"Iná črevná helmintóza, bližšie určená",Infekčné a parazitové choroby
734,"Črevná helmintóza, bližšie neurčená",Infekčné a parazitové choroby
735,"Črevná parazitóza, bližšie neurčená",Infekčné a parazitové choroby
736,Viscerálna larva migrans,Infekčné a parazitové choroby
737,Gnatostomóza,Infekčné a parazitové choroby
738,Angiostrongylóza zapríčinená Parastrongylus cantonensis,Infekčné a parazitové choroby
739,Syngamidóza,Infekčné a parazitové choroby
740,Vnútorná hirudinóza,Infekčné a parazitové choroby
741,"Iná helmintóza, bližšie určená",Infekčné a parazitové choroby
742,"Helmintóza, bližšie neurčená",Infekčné a parazitové choroby
743,Pedikulóza zapríčinená Pediculus humanus capitis,Infekčné a parazitové choroby
744,Pedikulóza zapríčinená Pediculus humanus corporis,Infekčné a parazitové choroby
745,"Pedikulóza, bližšie neurčená",Infekčné a parazitové choroby
746,Ftirióza,Infekčné a parazitové choroby
747,Zmiešaná pedikulóza a ftirióza,Infekčné a parazitové choroby
748,Scabies,Infekčné a parazitové choroby
749,Myióza kože,Infekčné a parazitové choroby
750,Myióza rany,Infekčné a parazitové choroby
751,Myióza oka,Infekčné a parazitové choroby
752,Myióza nosohltana,Infekčné a parazitové choroby
753,Myióza ucha,Infekčné a parazitové choroby
754,Myióza na iných miestach,Infekčné a parazitové choroby
755,"Myióza, bližšie neurčená",Infekčné a parazitové choroby
756,Iná akarióza,Infekčné a parazitové choroby
757,Tungióza,Infekčné a parazitové choroby
758,Iné zamorenie článkonožcami,Infekčné a parazitové choroby
759,Vonkajšia hirudinóza,Infekčné a parazitové choroby
760,"Iné zamorenie, bližšie určenými ektoparazitmi",Infekčné a parazitové choroby
761,Zamorenie bližšie neurčenými ektoparazitmi,Infekčné a parazitové choroby
762,"Parazitová choroba, bližšie neurčená",Infekčné a parazitové choroby
763,Následky tuberkulózy centrálnej nervovej sústavy,Infekčné a parazitové choroby
764,Následky tuberkulózy močovopohlavnej sústavy,Infekčné a parazitové choroby
765,Následky tuberkulózy kostí a kĺbov,Infekčné a parazitové choroby
766,Následky tuberkulózy iných orgánov,Infekčné a parazitové choroby
767,Následky respiračnej a bližšie neurčenej tuberkulózy,Infekčné a parazitové choroby
768,Následky poliomyelitídy,Infekčné a parazitové choroby
769,Následky lepry,Infekčné a parazitové choroby
770,Následky trachómu,Infekčné a parazitové choroby
771,Následky vírusovej encefalitídy,Infekčné a parazitové choroby
772,Následky vírusovej hepatitídy,Infekčné a parazitové choroby
773,Následky iných bližšie určených infekčných a parazitových chorôb,Infekčné a parazitové choroby
774,Následky bližšie neurčených infekčných alebo parazitových chorôb,Infekčné a parazitové choroby
775,Streptokok skupiny A ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
776,Streptokok skupiny B ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
777,Streptokok skupiny D ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
778,Streptococcus pneumoniae ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
779,Streptokok skupiny C ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
780,Streptokok skupiny G ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
781,"Iný streptokok, bližšie určený, ako príčina chorôb zatriedených inde",Infekčné a parazitové choroby
782,"Streptokok, bližšie neurčený, ako príčina chorôb zatriedených inde",Infekčné a parazitové choroby
783,Staphylococcus aureus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
784,Iný stafylokok ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
785,"Stafylokok, bližšie neurčený, ako príčina chorôb zatriedených inde",Infekčné a parazitové choroby
786,"Iný grampozitívny aeróbny mikroorganizmus, bližšie určený, ako príčina chorôb zatriedených inde",Infekčné a parazitové choroby
788,Mykoplazma a ureaplazma ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
789,Escherichia coli  [E. coli] a iné Enterobacteriacae ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
790,Haemophilus a Moraxella ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
791,Pseudomonas a iná nefermentujúca baktéria ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
792,Bacteroides fragilis [B. fragilis] a iná gramnegatívna anaeróbna baktéria ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
794,"Iná baktéria, bližšie určená, ako príčina chorôb zatriedených inde",Infekčné a parazitové choroby
795,Adenovírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
796,Enterovírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
797,Koronavírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
798,Retrovírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
799,Respiračný syncytiálny vírus [RS-Virus] ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
800,Reovírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
801,Parvovírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
802,Papilomavírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
803,Iný vírus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
804,Helicobacter pylori [H. pylori] ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
805,Vibrio vulnificus ako príčina chorôb zatriedených inde,Infekčné a parazitové choroby
806,"Iná infekčná choroba, bližšie neurčená",Infekčné a parazitové choroby
807,Zhubný nádor vonkajšej hornej pery,Nádory
808,Zhubný nádor vonkajšej dolnej pery,Nádory
809,"Zhubný nádor vonkajšej pery, bližšie neurčený",Nádory
810,Zhubný nádor vnútornej strany hornej pery,Nádory
811,Zhubný nádor vnútornej strany dolnej pery,Nádory
812,"Zhubný nádor vnútornej strany pery, bližšie neurčený",Nádory
813,Zhubný nádor spojky perí,Nádory
814,Zhubný nádor pery presahujúci viaceré oblasti,Nádory
815,"Zhubný nádor pery, bližšie neurčený",Nádory
816,Zhubný nádor koreňa jazyka,Nádory
817,Zhubný nádor chrbtovej strany jazyka,Nádory
818,Zhubný nádor okraja jazyka,Nádory
819,Zhubný nádor spodnej strany jazyka,Nádory
820,"Zhubný nádor predných dvoch tretín jazyka, bližšie neurčená časť",Nádory
821,Zhubný nádor jazykovej mandle,Nádory
822,Zhubný nádor jazyka presahujúci viaceré oblasti,Nádory
823,"Zhubný nádor jazyka, bližšie neurčený",Nádory
824,Zhubný nádor horného ďasna,Nádory
825,Zhubný nádor dolného ďasna,Nádory
826,"Zhubný nádor ďasna, bližšie neurčený",Nádory
827,Zhubný nádor prednej časti ústnej spodiny,Nádory
828,Zhubný nádor bočnej časti ústnej spodiny,Nádory
829,Zhubný nádor ústnej spodiny presahujúci viaceré oblasti,Nádory
830,"Zhubný nádor ústnej spodiny, bližšie neurčený",Nádory
831,Zhubný nádor tvrdého podnebia,Nádory
832,Zhubný nádor mäkkého podnebia,Nádory
833,Zhubný nádor uvuly,Nádory
834,Zhubný nádor podnebia presahujúci viaceré oblasti,Nádory
835,"Zhubný nádor podnebia, bližšie neurčený",Nádory
836,Zhubný nádor sliznice líca,Nádory
837,Zhubný nádor vestibulum oris,Nádory
838,Zhubný nádor retromolárnej časti úst,Nádory
839,Zhubný nádor iných a bližšie neurčených častí úst presahujúci viaceré oblasti,Nádory
840,"Zhubný nádor úst, bližšie neurčený",Nádory
841,Zhubný nádor príušnej žľazy,Nádory
842,Zhubný nádor submandibulárnej slinnej žľazy,Nádory
843,Zhubný nádor sublingválnej slinnej žľazy,Nádory
844,Zhubný nádor veľkých slinných žliaz presahujúci viaceré oblasti,Nádory
845,"Zhubný nádor veľkej slinnej žľazy, bližšie neurčený",Nádory
846,Zhubný nádor fossa tonsillaris,Nádory
847,Zhubný nádor podnebného oblúka (predná časť) (zadná časť),Nádory
848,Zhubný nádor mandle presahujúci viaceré oblasti,Nádory
